STATION,LAT,LONG,TOT. PERCIP.,COUNT,AVG. PERCIP.
ALGONQUIN PARK EAST GATE,45.53,-78.27,847.3,361,2.347091413
AMHERSTBURG,42.1,-83.09,531.9,238,2.23487395
APPLETON,45.19,-76.11,691.2,263,2.628136882
ARMSTRONG (AUT),50.29,-88.91,422.6,215,1.965581395
ATIKOKAN (AUT),48.76,-91.63,626,333,1.87987988
AURORA NE,44.02,-79.45,899.2,326,2.758282209
BALACLAVA,44.67,-80.78,1127.6,365,3.089315068
BALDWIN,44.27,-79.32,827.4,351,2.357264957
BANCROFT AUTO,45.07,-77.88,1090.2,363,3.003305785
BARRIE WPCC,44.38,-79.69,190.4,60,3.173333333
BARRIE-ORO,44.48,-79.55,913.1,365,2.501643836
BARWICK,48.63,-93.97,746.9,360,2.074722222
BEATRICE CLIMATE,45.14,-79.4,1102.4,356,3.096629213
BELLEVILLE,44.15,-77.39,333.8,120,2.781666667
BIG TROUT LAKE READAC,53.82,-89.9,577,351,1.643874644
BLACKSTOCK,44.1,-78.83,1170.1,365,3.205753425
BLENHEIM 1,42.31,-82.03,556.5,232,2.398706897
BLOOMFIELD,43.98,-77.22,1091.4,365,2.990136986
BLYTH,43.72,-81.38,1171.4,345,3.395362319
BONNER LAKE,49.38,-82.12,834.3,363,2.298347107
BRANTFORD MOE,43.13,-80.23,700.3,315,2.223174603
BROCKVILLE CLIMATE,44.64,-75.75,896.4,364,2.462637363
BROCKVILLE PCC,44.6,-75.67,1042.8,363,2.872727273
BURK'S FALLS,45.66,-79.4,639.9,354,1.807627119
CAMERON FALLS (AUT),49.15,-88.34,561,363,1.545454545
CARIBOU ISLAND (AUT),47.33,-85.83,8.2,5,1.64
CENTREVILLE,44.4,-76.91,1059,356,2.974719101
CHALK RIVER AECL,46.05,-77.37,554.5,242,2.291322314
CHAPLEAU A,47.82,-83.35,828.2,365,2.269041096
CHATHAM WPCP,42.39,-82.22,380.5,179,2.125698324
CHATSWORTH,44.4,-80.91,1208.9,352,3.434375
COBOURG (AUT),43.95,-78.17,1120.5,352,3.183238636
COBOURG STP,43.97,-78.18,478,203,2.354679803
COE HILL,44.92,-77.88,902.5,241,3.744813278
COLDWATER WARMINSTER,44.63,-79.54,1029.4,342,3.00994152
COLLINGWOOD,44.5,-80.22,685.1,351,1.951851852
COMBERMERE,45.37,-77.62,845.3,331,2.553776435
CORNWALL,45.02,-74.75,876.1,365,2.400273973
CYPRUS LAKE CS,45.23,-81.53,379.8,103,3.687378641
DELHI CS,42.87,-80.55,1086.6,361,3.009972299
DORCHESTER,43,-81.03,1175.7,365,3.22109589
DRUMMOND CENTRE,45.03,-76.25,884.2,354,2.497740113
DRYDEN A (AUT),49.83,-92.74,621.5,352,1.765625
DUNCHURCH,45.62,-79.88,1184.6,357,3.318207283
EAR FALLS (AUT),50.63,-93.22,549.9,355,1.549014085
EARLTON AWOS,47.7,-79.85,707.5,361,1.959833795
EARLTON CLIMATE,47.7,-79.85,855.4,365,2.343561644
EGBERT CS,44.23,-79.78,951.5,341,2.790322581
ELLIOT LAKE A,46.35,-82.56,1127.3,365,3.088493151
ELORA RCS,43.65,-80.42,895.4,364,2.45989011
ERIEAU (AUT),42.25,-81.9,0,57,0
FERGUS MOE,43.7,-80.38,872.3,352,2.478125
FERGUS SHAND DAM,43.73,-80.33,951.3,364,2.613461538
FLINT,48.35,-89.68,683.3,357,1.914005602
FOLDENS,43.02,-80.78,1046.3,365,2.866575342
FORT ERIE,42.88,-78.97,1033.9,273,3.787179487
FORT FRANCES A,48.65,-93.43,812.5,354,2.29519774
FORT FRANCES RCS,48.65,-93.44,695.1,350,1.986
GEORGETOWN WWTP,43.64,-79.88,552.2,191,2.891099476
GERALDTON A,49.78,-86.93,584.4,365,1.60109589
GLEN ALLAN,43.68,-80.71,1022.2,357,2.863305322
GODERICH,43.77,-81.72,767.7,362,2.120718232
GORE BAY  AWOS,45.88,-82.57,577,314,1.837579618
GRASSY NARROWS,50.14,-93.98,323.2,92,3.513043478
GRIMSBY MOUNTAIN,43.18,-79.56,1076.9,365,2.950410959
HALIBURTON 3,45.03,-78.53,1265.7,365,3.467671233
HAMILTON A,43.17,-79.93,1097,365,3.005479452
HAMILTON RBG CS,43.29,-79.91,865.7,364,2.378296703
HARROW CDA AUTO,42.03,-82.9,772.1,356,2.168820225
HARTINGTON IHD,44.43,-76.69,1006.4,365,2.757260274
JAMESTOWN,43.8,-81.18,1001,344,2.909883721
KALADAR,44.65,-77.12,1051.1,356,2.95252809
KAPUSKASING A,49.41,-82.47,808.3,365,2.214520548
KAPUSKASING CDA ON,49.41,-82.44,743.5,162,4.589506173
KEMPTVILLE CS,45,-75.63,1007.9,359,2.807520891
KENORA A,49.79,-94.37,802.6,365,2.19890411
KENORA RCS,49.79,-94.38,618.4,336,1.84047619
KILLARNEY (AUT),45.97,-81.48,370.2,213,1.738028169
KINCARDINE,44.17,-81.62,877.2,319,2.74984326
KINGSTON CLIMATE,44.22,-76.6,831.2,358,2.321787709
KINGSVILLE MOE,42.04,-82.67,736.7,337,2.186053412
KIRKLAND LAKE CS,48.15,-80,362.3,167,2.169461078
