Row Labels,Max of Latitude,Max of Longitude,Sum of MeanTemp(C),Count of MeanTemp(C)2,Average of MeanTemp(C)2
APPLETON,45.19,-76.11,2683.7,350,7.667714286
ARMSTRONG (AUT),50.29,-88.91,752.8,350,2.150857143
ATIKOKAN (AUT),48.76,-91.63,1561.8,350,4.462285714
BALDWIN,44.27,-79.32,2688.7,343,7.83877551
BANCROFT AUTO,45.07,-77.88,1939.4,350,5.541142857
BARRIE-ORO,44.48,-79.55,2558.3,363,7.047658402
BARWICK,48.63,-93.97,1410.2,333,4.234834835
BEATRICE CLIMATE,45.14,-79.4,2165.4,362,5.981767956
BIG TROUT LAKE READAC,53.82,-89.9,243.4,358,0.679888268
BLACKSTOCK,44.1,-78.83,2934.8,358,8.197765363
BONNER LAKE,49.38,-82.12,1310.5,360,3.640277778
BORDEN AWOS,44.27,-79.91,2565.3,353,7.26713881
BROCKVILLE CLIMATE,44.64,-75.75,2896.6,363,7.979614325
BROCKVILLE PCC,44.6,-75.67,3207.5,350,9.164285714
BURLINGTON PIERS (AUT),43.3,-79.8,3376.6,344,9.815697674
CAMERON FALLS (AUT),49.15,-88.34,1617.5,359,4.505571031
CARIBOU ISLAND (AUT),47.33,-85.83,2192.9,349,6.283381089
CENTREVILLE,44.4,-76.91,3016.8,338,8.925443787
CHAPLEAU A,47.82,-83.35,1513.5,364,4.157967033
CHATSWORTH,44.4,-80.91,2674.5,345,7.752173913
COBOURG (AUT),43.95,-78.17,3053.4,363,8.411570248
COLLINGWOOD,44.5,-80.22,3192,365,8.745205479
CORNWALL,45.02,-74.75,2945.6,334,8.819161677
DELHI CS,42.87,-80.55,3237.2,363,8.917906336
DRUMMOND CENTRE,45.03,-76.25,2862,347,8.247838617
DUNCHURCH,45.62,-79.88,2294.9,360,6.374722222
EAR FALLS (AUT),50.63,-93.22,1204.1,362,3.326243094
EARLTON AWOS,47.7,-79.85,1704.6,362,4.708839779
EARLTON CLIMATE,47.7,-79.85,1682.4,359,4.686350975
EGBERT CS,44.23,-79.78,2740.1,363,7.548484848
ELLIOT LAKE A,46.35,-82.56,2245.5,358,6.272346369
ELORA RCS,43.65,-80.42,2629.6,356,7.386516854
ERIEAU (AUT),42.25,-81.9,3079.9,342,9.005555556
FERGUS MOE,43.7,-80.38,2662.6,347,7.673198847
FERGUS SHAND DAM,43.73,-80.33,2723.8,354,7.694350282
FLINT,48.35,-89.68,1494.4,354,4.221468927
FOLDENS,43.02,-80.78,3161,333,9.492492492
FORT FRANCES A,48.65,-93.43,1415.5,346,4.091040462
FORT FRANCES RCS,48.65,-93.44,1608.5,361,4.45567867
FORT SEVERN A,56.02,-87.68,-650.9,358,-1.818156425
GERALDTON A,49.78,-86.93,1179,365,3.230136986
GODERICH,43.77,-81.72,3124.6,365,8.560547945
GRENADIER ISLAND,44.42,-75.85,3133.2,359,8.727576602
GRIMSBY MOUNTAIN,43.18,-79.56,3673.5,365,10.06438356
HALIBURTON 3,45.03,-78.53,2254.4,348,6.47816092
HAMILTON A,43.17,-79.93,3207.3,365,8.787123288
HAMILTON RBG CS,43.29,-79.91,3429,365,9.394520548
HARROW CDA AUTO,42.03,-82.9,3804.7,365,10.42383562
HARTINGTON IHD,44.43,-76.69,2924.1,346,8.451156069
KALADAR,44.65,-77.12,2984.8,360,8.291111111
KAPUSKASING A,49.41,-82.47,1359.5,365,3.724657534
KEMPTVILLE CS,45,-75.63,2656.3,350,7.589428571
KENORA A,49.79,-94.37,1706.4,362,4.713812155
KENORA RCS,49.79,-94.38,1486.7,335,4.437910448
KILLARNEY (AUT),45.97,-81.48,2377.1,353,6.733994334
KINGSTON CLIMATE,44.22,-76.6,3033.4,355,8.544788732
KIRKLAND LAKE CS,48.15,-80,1617.7,363,4.456473829
