STATION,LAT,LONG,TOT. PERCIP.,COUNT,AVG. PERCIP.
ALBERTON,43.18,-80.05,933.2,362,2.577900552
ALGONQUIN PARK EAST GATE,45.53,-78.27,1027.7,362,2.838950276
ATIKOKAN (AUT),48.76,-91.63,716.7,363,1.974380165
AURORA NE,44.02,-79.45,1034.4,365,2.833972603
BALACLAVA,44.67,-80.78,1362.6,366,3.72295082
BALDWIN,44.27,-79.32,1023.8,349,2.933524355
BANCROFT AUTO,45.07,-77.88,1226.7,365,3.360821918
BARRIE-ORO,44.48,-79.55,1146.6,363,3.158677686
BEATRICE CLIMATE,45.14,-79.4,1224,353,3.467422096
BIG TROUT LAKE READAC,53.82,-89.9,683.5,349,1.958452722
BLACKSTOCK,44.1,-78.83,1237.5,366,3.381147541
 ,43.72,-81.38,2301.8,359,6.411699164
BROCKVILLE PCC,44.6,-75.67,1178.9,366,3.221038251
BURK'S FALLS,45.66,-79.4,1055.7,354,2.98220339
CAMERON FALLS (AUT),49.15,-88.34,764.7,364,2.100824176
CENTREVILLE,44.4,-76.91,1072,358,2.994413408
CHAPLEAU A,47.82,-83.35,934,366,2.551912568
CHATSWORTH,44.4,-80.91,1540.5,352,4.376420455
COBOURG (AUT),43.95,-78.17,1079.2,363,2.973002755
COLLINGWOOD,44.5,-80.22,854.4,365,2.340821918
COMBERMERE,45.37,-77.62,1062.4,363,2.926721763
CORNWALL,45.02,-74.75,1034,339,3.050147493
CYPRUS LAKE CS,45.23,-81.53,1266.3,362,3.498066298
DELHI CS,42.87,-80.55,1248.2,361,3.457617729
DORCHESTER,43,-81.03,1343.8,366,3.671584699
DRUMMOND CENTRE,45.03,-76.25,1082,354,3.056497175
DRYDEN A (AUT),49.83,-92.74,641,360,1.780555556
DUNCHURCH,45.62,-79.88,1546.9,357,4.333053221
EARLTON AWOS,47.7,-79.85,721,361,1.997229917
EGBERT CS,44.23,-79.78,992.5,359,2.764623955
ELLIOT LAKE A,46.35,-82.56,1125.7,366,3.07568306
ELORA RCS,43.65,-80.42,1116.9,355,3.146197183
ERIEAU (AUT),42.25,-81.9,350.6,346,1.013294798
FERGUS MOE,43.7,-80.38,1119.2,360,3.108888889
FERGUS SHAND DAM,43.73,-80.33,1268.9,366,3.466939891
FLINT,48.35,-89.68,848.7,361,2.350969529
FORT FRANCES RCS,48.65,-93.44,575.7,359,1.60362117
GERALDTON A,49.78,-86.93,879,366,2.401639344
GODERICH,43.77,-81.72,1269.6,365,3.478356164
GORE BAY  AWOS,45.88,-82.57,778,352,2.210227273
GRIMSBY MOUNTAIN,43.18,-79.56,1233.4,366,3.369945355
HALIBURTON 3,45.03,-78.53,1340.7,364,3.683241758
HAMILTON A,43.17,-79.93,1107.9,366,3.02704918
HAMILTON RBG CS,43.29,-79.91,1013.5,362,2.799723757
HARROW CDA AUTO,42.03,-82.9,911.7,364,2.50467033
HARTINGTON IHD,44.43,-76.69,1097.3,366,2.998087432
JAMESTOWN,43.8,-81.18,1195.8,339,3.527433628
KALADAR,44.65,-77.12,1227.6,362,3.391160221
KAPUSKASING A,49.41,-82.47,810.1,366,2.213387978
KAPUSKASING CDA ON,49.41,-82.44,1236.8,355,3.483943662
KEMPTVILLE CS,45,-75.63,1024.3,347,2.951873199
KENORA A,49.79,-94.37,758.5,366,2.072404372
KINGSVILLE MOE,42.04,-82.67,758.7,344,2.205523256
