STATION,LAT,LONG,TOT. PERCIP.,COUNT,AVG. PERCIP.
ALGONQUIN PARK EAST GATE,45.53,-78.27,851.1,363,2.344628099
APPLETON,45.19,-76.11,855.4,339,2.523303835
BALACLAVA,44.67,-80.78,1288.1,365,3.529041096
BALDWIN,44.27,-79.32,828.6,347,2.387896254
BANCROFT AUTO,45.07,-77.88,931.8,363,2.566942149
BARRIE-ORO,44.48,-79.55,977.6,360,2.715555556
BEATRICE CLIMATE,45.14,-79.4,1265.9,364,3.477747253
BIG TROUT LAKE READAC,53.82,-89.9,401.5,348,1.153735632
BLACKSTOCK,44.1,-78.83,1171.1,365,3.208493151
BLOOMFIELD,43.98,-77.22,1067.6,334,3.196407186
BONNER LAKE,49.38,-82.12,901.6,365,2.470136986
BROCKVILLE CLIMATE,44.64,-75.75,1093.9,362,3.021823204
BROCKVILLE PCC,44.6,-75.67,1201.1,363,3.308815427
CAMERON FALLS (AUT),49.15,-88.34,545.5,356,1.532303371
CENTREVILLE,44.4,-76.91,1022.8,347,2.947550432
CHAPLEAU A,47.82,-83.35,754.9,365,2.068219178
CHATSWORTH,44.4,-80.91,1188.5,357,3.329131653
COBOURG (AUT),43.95,-78.17,1047.9,362,2.894751381
COLDWATER WARMINSTER,44.63,-79.54,1244,365,3.408219178
COLLINGWOOD,44.5,-80.22,821.9,360,2.283055556
DELHI CS,42.87,-80.55,1227.6,361,3.400554017
DORCHESTER,43,-81.03,1283.5,365,3.516438356
DRUMMOND CENTRE,45.03,-76.25,986.4,356,2.770786517
DRYDEN REGIONAL,49.83,-92.74,369.2,353,1.045892351
DUNCHURCH,45.62,-79.88,1153.4,365,3.16
EAR FALLS (AUT),50.63,-93.22,559.1,354,1.579378531
EGBERT CS,44.23,-79.78,738.5,363,2.034435262
ELLIOT LAKE A,46.35,-82.56,1013.8,363,2.792837466
ELORA RCS,43.65,-80.42,1064.4,354,3.006779661
FERGUS MOE,43.7,-80.38,1253.4,364,3.443406593
FERGUS SHAND DAM,43.73,-80.33,1170.8,364,3.216483516
FLINT,48.35,-89.68,636.8,365,1.744657534
FOLDENS,43.02,-80.78,1170.6,362,3.233701657
FORT FRANCES RCS,48.65,-93.44,458.4,359,1.276880223
GERALDTON A,49.78,-86.93,635,365,1.739726027
GLEN ALLAN,43.68,-80.71,1136.6,334,3.402994012
GODERICH,43.77,-81.72,1018,363,2.804407713
GORE BAY CLIMATE,45.88,-82.57,839.9,362,2.320165746
GRIMSBY MOUNTAIN,43.18,-79.56,1219.2,365,3.340273973
HALIBURTON 3,45.03,-78.53,966.2,356,2.714044944
HAMILTON A,43.17,-79.93,1118.5,364,3.072802198
HAMILTON RBG CS,43.29,-79.91,910.1,364,2.500274725
HARROW CDA AUTO,42.03,-82.9,1476.4,361,4.089750693
JAMESTOWN,43.8,-81.18,1036.5,346,2.99566474
KALADAR,44.65,-77.12,997.5,364,2.740384615
KAPUSKASING A,49.41,-82.47,764.9,365,2.095616438
KEMPTVILLE CS,45,-75.63,839.8,356,2.358988764
KENORA A,49.79,-94.37,600.5,365,1.645205479
KENORA RCS,49.79,-94.38,500.1,344,1.45377907
KINGSTON CLIMATE,44.22,-76.6,964.6,351,2.748148148
KIRKLAND LAKE CS,48.15,-80,870.6,363,2.398347107
